year,pid,urban,hhnature,total_asset,age,gender,educ,marriage,health,precarious_job,industry,workhour,wage_month,job_status,wage_year,social_status,job_satisfaction,provname,upbringing,inc_exp_p
2014,220281101.0,0.0,1.0,10.335121154785156,50.0,1.0,6.0,1.0,2.0,0.0,,10.0,,1.0,0.0,3.0,4.0,吉林,0.0,0.15078408
2014,110033104.0,1.0,0.0,7.855000019073486,46.0,0.0,12.0,1.0,2.0,0.0,9.0,,,1.0,,3.0,3.0,北京,0.6666667,1.175423
2014,211902102.0,0.0,1.0,30.280000686645508,57.0,0.0,12.0,1.0,2.0,0.0,,4.0,,1.0,0.0,3.0,3.0,辽宁,0.25,2.5744574
2014,621610101.0,0.0,1.0,17.924999237060547,45.0,1.0,9.0,1.0,1.0,1.0,,70.0,,1.0,40000.0,2.0,3.0,甘肃,0.5,0.33631352
2014,370319102.0,1.0,1.0,16.6512508392334,62.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,2.0,,山东,0.0,0.97337
2014,370092101.0,0.0,1.0,12.864999771118164,48.0,1.0,9.0,1.0,4.0,0.0,,40.0,,1.0,10000.0,1.0,4.0,山东,0.0,3.9765515
2014,440445102.0,0.0,1.0,45.400001525878906,53.0,0.0,12.0,1.0,2.0,0.0,,,,0.0,,4.0,,广东,0.5,1.218227
2014,140342101.0,0.0,1.0,19.01849937438965,58.0,1.0,9.0,1.0,3.0,0.0,,28.0,,1.0,0.0,3.0,3.0,山西,0.5,2.5144093
2014,340064101.0,0.0,1.0,7.716249942779541,62.0,0.0,,1.0,1.0,0.0,,,,0.0,,5.0,,安徽,0.0,0.48188975
2014,330259101.0,0.0,1.0,91.9175033569336,40.0,0.0,6.0,1.0,3.0,0.0,,,,0.0,,4.0,,浙江,0.0,1.0036963
2014,510531101.0,0.0,1.0,39.46892547607422,36.0,0.0,0.0,1.0,4.0,0.0,,10.0,,1.0,0.0,3.0,3.0,四川,0.33333334,0.13
2014,500004101.0,1.0,0.0,69.00499725341797,39.0,1.0,12.0,1.0,3.0,0.0,3.0,80.0,6500.0,1.0,80000.0,2.0,4.0,重庆,0.6666667,0.63689196
